,US_County_FIPS,_class,n_species,n_red
433,01071,MAGNOLIOPSIDA,2,0
434,01071,MALACOSTRACA,52,7
435,01071,MAMMALIA,5,0
436,01071,POLYPODIOPSIDA,1,0
437,01071,REPTILIA,6,0
438,01073,ACTINOPTERYGII,138,20
439,01073,AMPHIBIA,44,2
440,01073,AVES,110,2
441,01073,BIVALVIA,28,4
442,01073,CEPHALASPIDOMORPHI,3,0
443,01073,GASTROPODA,24,3
444,01073,INSECTA,2,1
445,01073,LILIOPSIDA,4,0
446,01073,MAGNOLIOPSIDA,2,0
447,01073,MALACOSTRACA,36,3
448,01073,MAMMALIA,5,0
449,01073,REPTILIA,10,0
450,01075,ACTINOPTERYGII,109,7
451,01075,AMPHIBIA,37,1
452,01075,AVES,111,2
453,01075,BIVALVIA,21,3
454,01075,CEPHALASPIDOMORPHI,3,0
455,01075,GASTROPODA,9,0
456,01075,INSECTA,3,1
457,01075,LILIOPSIDA,4,0
458,01075,MAGNOLIOPSIDA,2,0
459,01075,MALACOSTRACA,32,1
460,01075,MAMMALIA,5,0
461,01075,REPTILIA,10,0
462,01077,ACTINOPTERYGII,166,16
463,01077,AMPHIBIA,39,2
464,01077,AVES,113,2
465,01077,BIVALVIA,52,13
466,01077,CEPHALASPIDOMORPHI,5,0
467,01077,GASTROPODA,23,0
468,01077,INSECTA,3,1
469,01077,LILIOPSIDA,4,0
470,01077,MAGNOLIOPSIDA,2,0
471,01077,MALACOSTRACA,52,9
472,01077,MAMMALIA,5,0
473,01077,POLYPODIOPSIDA,1,0
474,01077,REPTILIA,9,0
475,01079,ACTINOPTERYGII,174,18
476,01079,AMPHIBIA,35,3
477,01079,AVES,112,2
478,01079,BIVALVIA,55,13
479,01079,CEPHALASPIDOMORPHI,5,0
480,01079,GASTROPODA,18,0
481,01079,INSECTA,5,1
482,01079,LILIOPSIDA,4,0
483,01079,MAGNOLIOPSIDA,2,0
484,01079,MALACOSTRACA,52,8
485,01079,MAMMALIA,5,0
486,01079,POLYPODIOPSIDA,1,0
487,01079,REPTILIA,6,0
488,01081,ACTINOPTERYGII,140,5
489,01081,AMPHIBIA,43,1
490,01081,AVES,109,2
491,01081,BIVALVIA,25,2
492,01081,CEPHALASPIDOMORPHI,3,0
493,01081,GASTROPODA,14,0
494,01081,INSECTA,3,1
495,01081,LILIOPSIDA,4,0
496,01081,MAGNOLIOPSIDA,2,0
497,01081,MALACOSTRACA,33,1
498,01081,MAMMALIA,5,0
499,01081,REPTILIA,12,0
500,01083,ACTINOPTERYGII,141,16
501,01083,AMPHIBIA,32,2
502,01083,AVES,114,2
503,01083,BIVALVIA,50,13
504,01083,CEPHALASPIDOMORPHI,4,0
505,01083,GASTROPODA,17,0
506,01083,INSECTA,3,1
507,01083,LILIOPSIDA,4,0
508,01083,MAGNOLIOPSIDA,2,0
509,01083,MALACOSTRACA,43,8
510,01083,MAMMALIA,5,0
511,01083,POLYPODIOPSIDA,1,0
512,01083,REPTILIA,6,0
513,01085,ACTINOPTERYGII,128,8
514,01085,AMPHIBIA,39,0
515,01085,AVES,110,2
516,01085,BIVALVIA,27,2
517,01085,CEPHALASPIDOMORPHI,3,0
518,01085,GASTROPODA,14,0
519,01085,INSECTA,2,1
520,01085,LILIOPSIDA,4,0
521,01085,MAGNOLIOPSIDA,3,0
522,01085,MALACOSTRACA,40,1
523,01085,MAMMALIA,5,0
524,01085,REPTILIA,12,0
525,01087,ACTINOPTERYGII,134,5
526,01087,AMPHIBIA,38,0
527,01087,AVES,108,2
528,01087,BIVALVIA,22,2
529,01087,CEPHALASPIDOMORPHI,3,0
530,01087,GASTROPODA,13,0
531,01087,INSECTA,3,1
532,01087,LILIOPSIDA,4,0
533,01087,MAGNOLIOPSIDA,3,0
534,01087,MALACOSTRACA,26,0
535,01087,MAMMALIA,5,0
536,01087,REPTILIA,12,0
537,01089,ACTINOPTERYGII,113,11
538,01089,AMPHIBIA,34,2
539,01089,AVES,112,2
540,01089,BIVALVIA,49,13
541,01089,CEPHALASPIDOMORPHI,4,0
542,01089,GASTROPODA,20,0
543,01089,INSECTA,3,1
544,01089,LILIOPSIDA,4,0
545,01089,MAGNOLIOPSIDA,2,0
546,01089,MALACOSTRACA,50,9
547,01089,MAMMALIA,5,0
548,01089,POLYPODIOPSIDA,1,0
549,01089,REPTILIA,6,0
550,01091,ACTINOPTERYGII,123,9
551,01091,AMPHIBIA,40,0
552,01091,AVES,113,2
553,01091,BIVALVIA,22,2
554,01091,CEPHALASPIDOMORPHI,3,0
555,01091,GASTROPODA,17,1
556,01091,INSECTA,3,1
557,01091,LILIOPSIDA,4,0
558,01091,MAGNOLIOPSIDA,3,0
559,01091,MALACOSTRACA,55,5
560,01091,MAMMALIA,5,0
561,01091,REPTILIA,12,0
562,01093,ACTINOPTERYGII,152,7
563,01093,AMPHIBIA,36,1
564,01093,AVES,110,2
565,01093,BIVALVIA,44,7
566,01093,CEPHALASPIDOMORPHI,4,0
567,01093,GASTROPODA,13,0
568,01093,INSECTA,4,1
569,01093,LILIOPSIDA,4,0
570,01093,MAGNOLIOPSIDA,2,0
571,01093,MALACOSTRACA,35,2
572,01093,MAMMALIA,5,0
573,01093,POLYPODIOPSIDA,1,0
574,01093,REPTILIA,9,0
575,01095,ACTINOPTERYGII,150,19
576,01095,AMPHIBIA,39,2
577,01095,AVES,110,2
578,01095,BIVALVIA,49,12
579,01095,CEPHALASPIDOMORPHI,5,0
580,01095,GASTROPODA,18,1
581,01095,INSECTA,4,1
582,01095,LILIOPSIDA,4,0
583,01095,MAGNOLIOPSIDA,2,0
584,01095,MALACOSTRACA,58,8
585,01095,MAMMALIA,5,0
586,01095,POLYPODIOPSIDA,1,0
587,01095,REPTILIA,6,0
588,01097,ACTINOPTERYGII,179,10
589,01097,AMPHIBIA,43,1
590,01097,AVES,144,2
591,01097,BIVALVIA,27,3
592,01097,CEPHALASPIDOMORPHI,2,0
593,01097,CHONDRICHTHYES,2,1
594,01097,GASTROPODA,21,1
595,01097,INSECTA,3,1
596,01097,LILIOPSIDA,4,0
597,01097,MAGNOLIOPSIDA,4,0
598,01097,MALACOSTRACA,53,1
599,01097,MAMMALIA,6,1
600,01097,REPTILIA,15,1
601,01099,ACTINOPTERYGII,147,9
602,01099,AMPHIBIA,44,0
603,01099,AVES,115,2
604,01099,BIVALVIA,29,4
605,01099,CEPHALASPIDOMORPHI,3,0
606,01099,GASTROPODA,15,0
607,01099,INSECTA,2,1
608,01099,LILIOPSIDA,4,0
609,01099,MAGNOLIOPSIDA,3,0
610,01099,MALACOSTRACA,44,1
611,01099,MAMMALIA,5,0
612,01099,REPTILIA,13,0
613,01101,ACTINOPTERYGII,130,6
614,01101,AMPHIBIA,41,0
615,01101,AVES,109,2
616,01101,BIVALVIA,26,4
617,01101,CEPHALASPIDOMORPHI,3,0
618,01101,GASTROPODA,19,1
619,01101,INSECTA,4,1
620,01101,LILIOPSIDA,4,0
621,01101,MAGNOLIOPSIDA,3,0
622,01101,MALACOSTRACA,36,1
623,01101,MAMMALIA,5,0
624,01101,REPTILIA,11,0
625,01103,ACTINOPTERYGII,154,16
626,01103,AMPHIBIA,36,2
627,01103,AVES,111,2
628,01103,BIVALVIA,53,12
629,01103,CEPHALASPIDOMORPHI,5,0
630,01103,GASTROPODA,19,0
631,01103,INSECTA,4,1
632,01103,LILIOPSIDA,4,0
633,01103,MAGNOLIOPSIDA,3,0
634,01103,MALACOSTRACA,51,8
635,01103,MAMMALIA,5,0
636,01103,POLYPODIOPSIDA,1,0
637,01103,REPTILIA,6,0
